Date,Home,Away,Home_Score,Away_Score,Final_Score,Link,first_goal_min
,PSG,Lens,1,0,1-0,https://ca.soccerway.com/matches/2024/11/02/france/ligue-1/psg/lens/4372835/,4
,Brest,Nice,0,1,0-1,https://ca.soccerway.com/matches/2024/11/02/france/ligue-1/brest/nice/4372834/,42
,Saint-Étienne,Strasbourg,2,0,2-0,https://ca.soccerway.com/matches/2024/11/02/france/ligue-1/saint-tienne/strasbourg/4372833/,51
,Toulouse,Reims,1,0,1-0,https://ca.soccerway.com/matches/2024/11/03/france/ligue-1/toulouse/reims/4372828/,84
,Le Havre,Montpellier,1,0,1-0,https://ca.soccerway.com/matches/2024/11/03/france/ligue-1/le-havre/montpellier/4372830/,73
,Rennes,Toulouse,0,2,0-2,https://ca.soccerway.com/matches/2024/11/10/france/ligue-1/rennes/toulouse/4372842/,14
,Le Havre,Reims,0,3,0-3,https://ca.soccerway.com/matches/2024/11/10/france/ligue-1/le-havre/reims/4372839/,15
,PSG,Toulouse,3,0,3-0,https://ca.soccerway.com/matches/2024/11/22/france/ligue-1/psg/toulouse/4372845/,35
,Saint-Étienne,Montpellier,1,0,1-0,https://ca.soccerway.com/matches/2024/11/23/france/ligue-1/saint-tienne/montpellier/4372848/,47
,Reims,Lyon,1,1,1-1,https://ca.soccerway.com/matches/2024/11/23/france/ligue-1/reims/lyon/4372853/,55
,Lille,Rennes,1,0,1-0,https://ca.soccerway.com/matches/2024/11/24/france/ligue-1/lille/rennes/4372849/,45
,Nantes,Le Havre,0,2,0-2,https://ca.soccerway.com/matches/2024/11/24/france/ligue-1/nantes/le-havre/4372850/,3
,Auxerre,Angers,1,0,1-0,https://ca.soccerway.com/matches/2024/11/24/france/ligue-1/auxerre/angers/4372852/,93
,Reims,Lens,0,2,0-2,https://ca.soccerway.com/matches/2024/11/29/france/ligue-1/reims/lens/4372854/,23
,PSG,Nantes,1,1,1-1,https://ca.soccerway.com/matches/2024/11/30/france/ligue-1/psg/nantes/4372860/,2
,Toulouse,Auxerre,2,0,2-0,https://ca.soccerway.com/matches/2024/12/01/france/ligue-1/toulouse/auxerre/4372857/,32
,Le Havre,Angers,0,1,0-1,https://ca.soccerway.com/matches/2024/12/01/france/ligue-1/le-havre/angers/4372856/,63
,Auxerre,PSG,0,0,0-0,https://ca.soccerway.com/matches/2024/12/06/france/ligue-1/auxerre/psg/4372864/,
,Monaco,Toulouse,2,0,2-0,https://ca.soccerway.com/matches/2024/12/07/france/ligue-1/monaco/toulouse/4372871/,50
,Nice,Le Havre,2,1,2-1,https://ca.soccerway.com/matches/2024/12/07/france/ligue-1/nice/le-havre/4372863/,55
,Angers,Lyon,0,3,0-3,https://ca.soccerway.com/matches/2024/12/07/france/ligue-1/angers/lyon/4372866/,26
,Lens,Montpellier,2,0,2-0,https://ca.soccerway.com/matches/2024/12/08/france/ligue-1/lens/montpellier/4372868/,39
